ID_Provinsi;Provinsi;Tahun;Pengangguran;Jumlah AK;Pengeluaran Perkapita;PDRB provinsi;Upah (Rupiah Jam);PP IKM (Y to Y);PDRB (Rupiah) perkapita;Penduduk (ribu jiwa);Gini Ratio;PK-K;PK-M;PK-B;Industri Mikro;Industri Kecil
11;Aceh;2023;157107;2604452;1225976196;4.23;17585;10.64;41424;5409.2;0.296;6904;848;22;106527;3999
12;Sumatera Utara;2023;472085;8021622;1305339354;5.01;17609;5.73;68306;15180.5;0.309;7677;1182;36;119539;7368
13;Sumatera Barat;2023;179505;3024430;1411823462;4.62;16694;1.64;54327;5677.6;0.28;5340;546;38;84077;4144
14;Riau;2023;132454;3134788;1527549355;4.21;18413;-3.17;154522;6555.8;0.324;6024;1005;54;60273;2090
15;Jambi;2023;85576;1887840;1424125.4;4.66;17596;4.82;79836;3633.2;0.343;2566;245;9;33742;792
16;Sumatera Selatan;2023;188511;4588170;1209985965;5.08;16273;15.75;71950;8647.3;0.338;4062;929;40;75282;1934
17;Bengkulu;2023;37845;1107460;1332558.38;4.26;17410;3.77;46285;2059.4;0.333;1184;180;3;25595;936
18;Lampung;2023;207242;4904900;1203017306;4.55;13958;12.43;48194;4496.6;0.324;3764;413;67;77575;3680
19;Kepulauan Bangka Belitung;2023;35812;785627;1727549805;4.38;20141;15.39;67885;1492;0.245;789;101;4;15776;486
21;Kepulauan Riau;2023;74330;1093686;1989702534;5.2;27640;4.49;154179;2121.5;0.34;1740;471;9;25873;394
31;DKI Jakarta;2023;354496;5427233;2791715754;4.96;42354;8.6;322615;10640;0.431;4156;9260;774;69072;10920
32;Jawa Barat;2023;1888287;25391885;1567666154;5;21194;7.55;52651;49306.8;0.425;9845;2775;69;584903;56736
33;Jawa Tengah;2023;1080260;21069135;1209906178;4.98;13381;-4.69;45199;37180.4;0.369;14409;1576;107;811039;51887
34;DI Yogyakarta;2023;81984;2221694;1731559932;5.07;16478;12.35;48358;3712.6;0.449;1490;202;10;129289;4736
35;Jawa Timur;2023;1165587;23868764;1323486256;4.95;15155;4.61;71122;41230;0.387;21090;2363;171;862057;115414
36;Banten;2023;448432;5965088;1743686861;4.81;24685;-4.64;66147;12167;0.368;5147;1426;57;90908;6184
51;Bali;2023;72421;2690237;1741522782;5.71;18521;23.27;62293;4374.3;0.362;1521;199;9;120752;5035
52;Nusa Tenggara Barat;2023;83243;2976225;1260820067;1.8;12933;4.92;29926;5474;0.375;3790;200;18;131958;18004
53;Nusa Tenggara Timur;2023;93815;2990716;9613722258;3.52;14770;26.5;23078;5481.8;0.325;5123;368;32;124566;1374
61;Kalimantan Barat;2023;147574;2922819;1345552263;4.46;19303;21.76;48809;5549.7;0.321;6961;503;41;47435;1021
62;Kalimantan Tengah;2023;57762;1407637;1525785005;4.14;20257;13.8;75294;2737.2;0.317;2062;395;59;27952;599
63;Kalimantan Selatan;2023;93576;2173257;1457344319;4.84;18938;11.75;63779;4170.2;0.313;3513;370;16;64528;2842
64;Kalimantan Timur;2023;103565;1950860;1980274865;6.22;22509;16.49;215761;3856.8;0.322;5682;1322;62;34586;1055
65;Kalimantan Utara;2023;15553;387823;1693576.9;4.94;22366;22.87;201749;720.1;0.277;1052;118;8;5763;207
71;Sulawesi Utara;2023;81201;1332149;1315176486;5.48;19270;12.91;64131;2660.8;0.37;1484;307;12;59112;1849
72;Sulawesi Tengah;2023;47076;1594245;1173679465;11.91;16392;-2.76;112461;3051.2;0.304;3375;315;15;69057;7072
73;Sulawesi Selatan;2023;203500;4694483;1252551242;4.51;17776;1.4;69702;9260.1;0.377;9736;1571;88;119613;4313
74;Sulawesi Tenggara;2023;43894;1395534;1172739179;5.35;18884;5.86;64088;2704.6;0.371;2992;312;18;47415;1738
75;Gorontalo;2023;19904;651425;1228893402;4.5;15138;40.12;42347;1198.4;0.417;557;102;2;38089;836
76;Sulawesi Barat;2023;17273;760280;1036520079;5.25;16387;14.68;39533;1458.9;0.351;1075;65;5;21947;541
81;Maluku;2023;57504;910758;1238170.28;5.21;17156;20.04;30456;1895.1;0.288;1391;263;9;61308;199
82;Maluku Utara;2023;28600;663299;1317159.42;20.49;27078;-0.34;63677;1318.5;0.3;1448;201;7;17016;322
91;Papua Barat;2023;31919;592802;1598253623;3.91;25695;16.22;83275.5;1168.4;0.37;3058;331;21;5553;284
